"","time","country","reported_cases","reported_cases_c","predicted_cases_c","predicted_min_c","predicted_max_c","predicted_cases","predicted_min","predicted_max","deaths","deaths_c","estimated_deaths_c","death_min_c","death_max_c","estimated_deaths","death_min","death_max","rt","rt_min","rt_max"
"376",2020-04-19,"Italy",3491,175925,770090.904847655,3861.41086656885,1354093.28032818,16274.5614664522,413.738637631352,27270.3607395615,480,23227,6797.49923106252,21.517205933621,10896.0975833631,217.159221447826,2.20250963829468,311.340115847689,1.23511715274574,0.996649204191361,2.52016618700612
"377",2020-04-20,"Italy",3047,178972,786763.615229283,4325.69901544064,1385739.34800203,16672.7103816286,464.288148871792,31646.0676738479,433,23660,7017.69200101609,23.9885273720998,11207.9502479359,220.192769953565,2.47132143847879,311.852664572834,1.23478543861526,0.996405250490096,2.51927046130187
"378",2020-04-21,"Italy",2256,181228,803890.012963347,4846.71169599605,1422935.39380766,17126.3977340642,521.012680555407,37196.0458056304,454,24114,7241.22117061673,26.7616396744731,11523.6817668309,223.529169600638,2.77311230237332,315.731518894961,1.23443864498894,0.99616286449437,2.51821078802745
"379",2020-04-22,"Italy",2729,183957,821534.133496608,5431.37799991171,1466519.46711139,17644.120533261,584.666303915657,43584.0733037269,534,24648,7468.447076978,29.8734427217091,11842.9616365143,227.225906361268,3.111803047236,319.279869683457,1.23407453036513,0.995920646571602,2.51618962505597
"380",2020-04-23,"Italy",3370,187327,839769.780034097,6087.42001882683,1516993.44714177,18235.646537489,656.042018915127,50473.9800303771,437,25085,7699.75007005453,33.36531587618,12166.5508945181,231.302993076535,3.49187315447094,323.589258003744,1.23369050421922,0.995645257778792,2.51432644374111
"381",2020-04-24,"Italy",2646,189973,858681.964800883,6820.06493009807,1576283.48671823,18912.1847667859,732.644911271233,59290.0395764636,464,25549,7935.57693038228,37.2837456715778,12505.0694500152,235.826860327746,3.91842979539772,338.518555497113,1.23328357418883,0.995304189777544,2.51267625757404
"382",2020-04-25,"Italy",3021,192994,878368.535286706,7640.59352653387,1645758.65754727,19686.5704858226,820.528596435807,69475.1708290435,420,25969,8176.4036108285,41.6808383067712,12869.7774542482,240.826680446226,4.39709263519345,364.708004233036,1.23285028613521,0.994961850875754,2.51075281538144
"383",2020-04-26,"Italy",2357,195351,898941.997608368,8558.412413017,1726661.72723643,20573.4623216621,917.818886483124,80903.0696891595,415,26384,8422.77441316389,46.6150886484469,13261.8481895668,246.37080233539,4.93425034167569,392.070735318615,1.23238665647938,0.994603564413142,2.50851134881118
"384",2020-04-27,"Italy",2324,197675,920531.544882472,9585.05354091114,1821428.41146651,21589.5472741046,1026.64112789414,94766.6842300732,260,26644,8675.36437657408,52.1521389241623,13682.1769234599,252.589963410184,5.53705027571537,420.328733893089,1.23188809631198,0.994273919396779,2.50587739127188
"385",2020-04-28,"Italy",1739,199414,943285.29161259,10733.4184240313,1931730.72120797,22753.7467301176,1148.36488312018,110302.309741459,333,26977,8934.91350004795,58.3573876807326,14140.4259521228,259.549123473872,6.20524875657036,458.24902866292,1.23134932695853,0.993992103545341,2.50101666064309
"386",2020-04-29,"Italy",2091,201505,967372.704621335,12017.9935171336,2060650.49533157,24087.4130087447,1284.57509310231,128919.774123608,382,27359,9202.24912826311,65.306334205165,14644.3830375228,267.33562821516,6.94894652443239,503.957085399915,1.23076428697638,0.993708709787025,2.49503471611066
"387",2020-04-30,"Italy",2086,203591,992987.205839366,13454.9278737009,2211358.51985298,25614.5012180308,1436.93435656725,150708.024521407,323,27682,9478.33561611751,73.1029410725667,15229.4118333969,276.086487854405,7.79660686740162,585.028795874174,1.23012603100806,0.993345630713453,2.4920593647436
"388",2020-05-01,"Italy",1872,205463,1020348.90091868,15062.2833386097,2385958.90478409,27361.6950793146,1607.35546490878,174600.384931111,285,27967,9764.26597520354,81.8507392488305,15874.0951560444,285.930359086028,8.7477981762639,644.683322647509,1.22942662156551,0.992974007402208,2.48933018601604
"389",2020-05-02,"Italy",1965,207428,1049707.35860189,16860.2606442224,2589284.89781289,29358.4576832088,1797.97730561277,203325.993028799,269,28236,10061.2824274237,91.6657745713707,16613.7366018585,297.016452220112,9.8150353225401,739.641445814016,1.22865701573098,0.992689556568369,2.48482594336322
"390",2020-05-03,"Italy",1900,209328,1081344.32740886,18871.452113657,2826818.13531552,31636.9688069727,2011.19146943455,237533.237502629,474,28710,10370.8111678146,102.678224304761,17478.7539248346,309.52874039091,11.0124497333901,865.017322976161,1.22780694999894,0.992387730943149,2.47832640545038
"391",2020-05-04,"Italy",1389,210717,1115576.2269858,21125.4660421308,3103957.65843442,34231.8995769347,2254.01392847377,277139.523118904,174,28884,10694.5225041678,115.034158323046,18490.2322809011,323.711336353202,12.3559340182853,1011.47835606648,1.22686482811909,0.992096761832595,2.46775631276546
"392",2020-05-05,"Italy",1221,211938,1152756.19038764,23653.7957811099,3426844.92883889,37179.9634018429,2528.3297389791,322887.270404466,195,29079,11034.2891960685,128.897459441153,19672.7414914734,339.766691900752,13.863301118107,1182.50921057235,1.22581761889707,0.991842110049922,2.45082666249789
