"","time","country","estimated_deaths_forecast","death_min_forecast","death_max_forecast"
"1",2020-12-02,"Germany",140.787730816641,1.04986346474207e-18,99.3195736511199
"2",2020-12-03,"Germany",140.281742253195,1.04763217484617e-18,99.6525560520054
"3",2020-12-04,"Germany",139.763735933975,1.04575431617359e-18,99.7431261285035
"4",2020-12-05,"Germany",139.234345200547,1.044173906025e-18,99.832464505209
"5",2020-12-06,"Germany",138.694173426276,1.04284382923306e-18,99.7578311586061
"6",2020-12-07,"Germany",138.14379053241,1.04172443356549e-18,99.8646046698035
"7",2020-12-08,"Germany",137.583730482008,1.04078234761318e-18,99.970251407518
"8",2020-12-09,"Germany",137.014489679499,1.03998948592211e-18,100.074766238452
"9",2020-12-02,"Italy",146.089394625946,4.58664549626997e-06,169.175924451807
"10",2020-12-03,"Italy",144.725400781951,3.90125023933581e-06,168.149843551583
"11",2020-12-04,"Italy",143.428893128317,3.31827574670573e-06,167.129090675454
"12",2020-12-05,"Italy",142.19500543186,2.82241696160447e-06,166.066849183718
"13",2020-12-06,"Italy",141.019089895047,2.40065591006984e-06,165.066088612759
"14",2020-12-07,"Italy",139.896720115509,2.04191993496165e-06,164.053315608629
"15",2020-12-08,"Italy",138.823692621815,1.73679100113968e-06,163.033235442319
"16",2020-12-09,"Italy",137.796026967958,1.47725844008514e-06,162.221010450097
"17",2020-12-02,"Belgium",54.8606950165747,0.00152365842839618,47.7857819857747
"18",2020-12-03,"Belgium",53.2393651958435,0.00132278748572731,47.4500263935221
"19",2020-12-04,"Belgium",51.6747595833425,0.00114839822771805,46.7750539565781
"20",2020-12-05,"Belgium",50.1659188020758,0.00099699947468049,46.5407949601211
"21",2020-12-06,"Belgium",48.7117843472763,0.000865560298444447,45.4586459370093
"22",2020-12-07,"Belgium",47.3112098599479,0.000751449347106727,45.0092587804201
"23",2020-12-08,"Belgium",45.9629721617701,0.000652382168407313,44.490495027644
"24",2020-12-09,"Belgium",44.6657819691039,0.000566375477355396,44.123914698289
"25",2020-12-02,"Austria",24.1791295798161,2.0201898810368e-20,27.0689131515813
"26",2020-12-03,"Austria",24.2046917497753,2.02018988093092e-20,27.2010506625442
"27",2020-12-04,"Austria",24.2284835190472,2.02018988085e-20,27.3327494336797
"28",2020-12-05,"Austria",24.2504096644008,2.02018988078813e-20,27.463991607221
"29",2020-12-06,"Austria",24.2703778681335,2.02018988074085e-20,27.5947592364791
"30",2020-12-07,"Austria",24.2882994522961,2.0201898807047e-20,27.7201589095302
"31",2020-12-08,"Austria",24.3040900219239,2.02018988067708e-20,27.8230267281496
"32",2020-12-09,"Austria",24.3176700210065,2.02018988065596e-20,27.9132448864076
"33",2020-12-02,"Poland",132.890933210625,6.81431774652948e-09,221.246726423713
"34",2020-12-03,"Poland",134.005863565801,5.50622318952081e-09,223.577257147835
"35",2020-12-04,"Poland",135.134830604514,4.44932729922796e-09,225.878543859872
"36",2020-12-05,"Poland",136.276802080917,3.59539138379765e-09,228.235545988165
"37",2020-12-06,"Poland",137.430797144396,2.90544022168516e-09,230.796563637442
"38",2020-12-07,"Poland",138.595882420524,2.34798316015179e-09,233.200984464101
"39",2020-12-08,"Poland",139.771168358015,1.89757682337896e-09,235.428875752424
"40",2020-12-09,"Poland",140.955805824897,1.53366382952503e-09,237.874903536245
