"","time","country","reported_cases","predicted_cases","predicted_min","predicted_max","predicted_min2","predicted_max2","deaths","estimated_deaths","death_min","death_max","death_min2","death_max2","rt","rt_min","rt_max","rt_min2","rt_max2"
"794",2020-08-22,"Belgium",510,8919.19493240601,419.14990631196,37078.2251219224,4248.50744633888,5404.96806369088,3,1745.96451286264,59.8269603862614,10006.37365775,68.4708719010207,93.4259305456926,0.852550899644408,0.30155226404436,0.982268041521195,0.952523205045712,0.967773039080732
"795",2020-08-23,"Belgium",203,8625.12097274727,363.971173457576,36778.9165855138,4222.20494486311,5369.28377192799,5,1665.02242581014,59.5932934628982,9551.82536661955,68.2026445233775,92.9141097723616,0.851394066659292,0.301469701194088,0.980981781704207,0.951774537212964,0.967316820677979
"796",2020-08-24,"Belgium",115,8351.6980274607,321.163979412784,36958.9981461762,4193.24819140999,5321.20365009544,3,1585.71519863967,59.3869149525095,9112.48835481487,67.9742999637111,92.5125259232299,0.850284312697114,0.301398006292354,0.9804418126828,0.951150675466694,0.966896019457409
"797",2020-08-25,"Belgium",607,8097.30203066758,278.831444260604,37699.7374113605,4162.60849509426,5282.11098424681,5,1508.34328793098,59.1688473679952,8663.36366770417,67.6967665829491,91.8661654802753,0.849218196685808,0.301335749077235,0.979913183087041,0.950497988590321,0.966497177082942
"798",2020-08-26,"Belgium",527,7860.45774921707,242.077822063249,36066.4072051181,4135.00859607718,5241.41362714649,5,1433.16173141422,58.8838465922421,8211.09877629925,67.4164200674932,90.736015336271,0.848192551427169,0.301281687437629,0.979367352475301,0.950000294783652,0.966069091078911
"799",2020-08-27,"Belgium",526,7639.82159836801,210.168108291362,33172.9660145999,4106.52966354586,5198.05321333737,4,1360.38168731912,58.6781337896699,7750.65179422129,67.1431300169344,90.2429246083981,0.847204458518259,0.30123474268095,0.978839553301233,0.949398349508424,0.965666945980755
"800",2020-08-28,"Belgium",535,7434.1654945826,182.464076745777,32718.1483095206,4076.54126115733,5158.73003736787,3,1290.1725485559,58.4478601128829,7301.64498500022,66.858916181758,89.4622879242003,0.84625122607163,0.301193978047224,0.978344365563917,0.948926063102112,0.965295347258237
"801",2020-08-29,"Belgium",614,7242.36219005961,158.411550575797,31528.6794450697,4049.43339761901,5124.8537781066,4,1222.66450956711,58.0985570780723,6859.6219082592,66.5987842596131,89.0379994296998,0.845330369071174,0.301158580044577,0.977761408591662,0.948516719680822,0.964897411775675
"802",2020-08-30,"Belgium",195,7063.37235707719,137.529344088563,30335.9376413796,4019.56866422105,5081.13233542892,6,1157.95146953526,57.8448881655245,6432.68870848035,66.2885995242344,88.5791965968403,0.844439592130773,0.301127842236519,0.977298635827669,0.948100313109256,0.964515890206539
"803",2020-08-31,"Belgium",117,6896.23352974913,119.39965688622,31075.6385841138,3998.16327930314,5031.57986707916,1,1096.09416409617,57.5872401849409,6030.77376903309,65.988304502288,88.1622723996764,0.843576774380633,0.301101151159592,0.976852424985581,0.947698347762323,0.964088186813134
"804",2020-09-01,"Belgium",634,6740.05087437982,103.659730224355,31774.6718623064,3970.89145648176,4925.85759548063,3,1037.12342803062,57.3134876276234,5636.87631150955,65.6672126577597,87.3162047241723,0.842739956188794,0.301077974091937,0.976449710287763,0.94730406674183,0.963675543690424
"805",2020-09-02,"Belgium",565,6593.98965265618,89.9946002128738,29751.1550686261,3938.73148449266,4839.36070830612,3,981.043502911702,57.0165559098286,5271.96074549846,65.3529382002607,86.953105990571,0.841927327428968,0.301057848429887,0.976105181950225,0.946912893811381,0.963286412999865
"806",2020-09-03,"Belgium",574,6457.26916702392,78.1308040306006,28543.1876780734,3901.42102183498,4754.65943325776,2,927.835315790204,56.7117864500391,4974.18653681466,65.0183318291195,86.3979927283084,0.841137217026096,0.301040372461458,0.975758126942316,0.946540662477705,0.962888912127929
"807",2020-09-04,"Belgium",677,6329.15793455924,67.830914096104,27055.7150040526,3826.53241384907,4660.96982632861,4,877.45966721529,56.1545113117923,4636.37054005347,64.6993189379399,85.7862895487931,0.840368083542867,0.301025197353259,0.97518035462908,0.946195344615276,0.962507753508508
"808",2020-09-05,"Belgium",728,6208.96982183162,58.8887914806711,25567.9126536276,3751.68578524939,4577.52717090002,2,829.86027880944,55.7949702793602,4319.39356725326,64.3606818110678,85.1382738628501,0.839618506609112,0.301012020191411,0.974773844715486,0.945830439529766,0.962104860512709
"809",2020-09-06,"Belgium",322,6096.06088414774,51.1254640734354,24812.8344530428,3676.18606583772,4531.37181600191,1,784.966661925465,55.2245219969452,4004.73342139864,64.0199871777727,84.083135917672,0.838887179036926,0.301000577937947,0.973949352753226,0.945234841019932,0.961698080738582
"810",2020-09-07,"Belgium",155,5989.8266824375,44.3855473841852,22842.4117081275,3589.42098024225,4498.57875950843,2,742.696779369131,54.8955619173816,3704.09583103069,63.7190718926388,83.4632704697452,0.838172899503907,0.300990642182348,0.973530518243918,0.94468853896624,0.961309533798196
"811",2020-09-08,"Belgium",918,5889.69989360821,38.5341366334442,21559.503980674,3534.96573293025,4461.9436618659,4,702.959481609135,54.4092725135104,3569.05629679377,63.3413354150102,82.6206765906572,0.837474565722105,0.30098201458368,0.973133763717951,0.944341087685963,0.960935056502694
"812",2020-09-09,"Belgium",871,5795.14807922969,33.4541081395482,20115.2783897249,3492.94509339582,4425.82220547836,3,665.656707219066,54.1151110138662,3404.06289446669,62.997943862443,81.9469864871656,0.836791168039174,0.300974522912497,0.972771343442384,0.943996909963704,0.960537507890863
