"","time","country","reported_cases","predicted_cases","predicted_min","predicted_max","predicted_min2","predicted_max2","deaths","estimated_deaths","death_min","death_max","death_min2","death_max2","rt","rt_min","rt_max","rt_min2","rt_max2"
"585",2020-02-28,"Austria",3,162.888410842243,74.3289486843923,301.621199697323,119.490133869112,195.906985166648,0,0.0051972948464411,0.00181966844842416,0.0113558865822931,0.00346339754644609,0.00641787113356328,4.35187344608057,3.36682700560449,5.47456136877304,3.99959065606559,4.69292710604354
"586",2020-02-29,"Austria",2,199.220069499603,92.0752057520399,369.269694350942,147.081907686292,239.113886331707,0,0.010210429840765,0.00357526569667074,0.0223083400234678,0.00680421835615762,0.0126080972181041,4.35179745891207,3.36671270811101,5.47451402338152,3.99950465054525,4.69287329913763
"587",2020-03-01,"Austria",3,252.019279510557,121.397709251084,447.794739210398,188.39627440963,300.444353804607,0,0.0179243721488166,0.00628411664784957,0.0391421977928736,0.0119476772453415,0.0221289792377117,4.35170443527338,3.36657466656897,5.47445501229594,3.99939977989795,4.69280700537271
"588",2020-03-02,"Austria",4,325.221208869378,164.800658015728,563.429563107709,248.368568061893,384.084988771193,0,0.0289379939267424,0.0101924123389054,0.0630601962143169,0.0193258285086577,0.0356989116700411,4.35158643535242,3.36640643785923,5.47437628573214,3.99926828841142,4.69272136259036
"589",2020-03-03,"Austria",4,422.363788676221,225.007604466756,714.407566488273,329.151806869779,492.910404984461,0,0.0438750285677312,0.0155991685125591,0.0951973098535276,0.0294211480964669,0.0541196725852253,4.35143364609482,3.36619944301307,5.47426807352857,3.99910050988531,4.69260801150175
"590",2020-03-04,"Austria",6,549.404212599112,306.553373108981,897.856906187949,433.860348120041,639.218297403493,0,0.063960477882578,0.0231193521129583,0.13772220075409,0.0431474479841774,0.0790060433624808,4.35123453397521,3.36594371992894,5.47411843972939,3.99888523971197,4.69245706231384
"591",2020-03-05,"Austria",5,715.112195914164,414.75561655159,1135.50952221125,573.250717754453,826.303161109987,0,0.090549172515257,0.0335844925760898,0.192670949799578,0.0615448774628037,0.111472720160563,4.35097464552344,3.36562744668327,5.47391151615087,3.99860876123,4.69223784792952
"592",2020-03-06,"Austria",12,931.368064547476,559.159486830039,1442.1067747725,759.053776900787,1068.98337881497,0,0.124852849950011,0.0476727334363733,0.260785403356202,0.0855218932793143,0.153051380243578,4.35063521928191,3.36523623001617,5.47362549563643,3.99825369496092,4.69183371259315
"593",2020-03-07,"Austria",33,1213.84663830198,735.659920433908,1825.4845171465,1001.29491068132,1386.86661048532,0,0.169283704257363,0.0669371216072142,0.345504054396383,0.117179618734271,0.206409748377362,4.35019164398155,3.36475234417659,5.47323022372071,3.99779777260642,4.69126814925589
"594",2020-03-08,"Austria",25,1583.12092263081,980.211276680891,2363.00115489387,1318.66766879929,1797.79803823729,0,0.226406612069986,0.0932365892586222,0.451691073159465,0.159279186677947,0.274391142531894,4.34961156734426,3.36415388779896,5.47268400928987,3.99721240435109,4.69053957214979
"595",2020-03-09,"Austria",3,2066.19382949783,1299.90030261097,3042.87533390827,1736.81968213153,2342.80438970473,0,0.300468798792781,0.128017864849612,0.585130377900657,0.215609567840488,0.362596405788484,4.34885244399076,3.36341378929618,5.47192924615457,3.99608447324044,4.68988999616122
"596",2020-03-10,"Austria",29,1653.62151108274,1182.08791973563,2226.52559109401,1463.61207120144,1828.42748360851,0,0.395970202341372,0.177920046897261,0.756489762177737,0.288779333004935,0.474792576020947,2.7129775928902,1.92462406235591,3.78307580396978,2.35453062633192,3.00473694689955
"597",2020-03-11,"Austria",51,2109.47523002206,1531.92519514049,2798.92574700485,1874.17777577965,2324.4075056397,0,0.519616437452485,0.243433113832583,0.968724267563062,0.385735420109818,0.619583329697528,2.71248067511234,1.92430954372204,3.78240323179401,2.35407223656021,3.00419881533026
"598",2020-03-12,"Austria",64,2574.97993176033,1881.23323605271,3419.70741327199,2287.18770692926,2836.76908207712,0,0.679492434973381,0.336434359227301,1.22149466493628,0.513433665941237,0.806935788560705,2.71184507257974,1.92391517373929,3.78153992922403,2.353516460119,3.00348596101198
"599",2020-03-13,"Austria",115,3075.233816708,2209.25571409366,4156.95106302911,2717.89367409735,3388.14888472197,1,0.884375345368377,0.463419162590538,1.54200670503943,0.680414091809242,1.04198711654206,2.71106585071668,1.92345168781221,3.78044038392152,2.35289375152076,3.00248743848665
"600",2020-03-14,"Austria",143,3579.91670480185,2494.62419767134,4976.72343467125,3129.72023505826,3962.31880229467,0,1.14463085093874,0.627808071079458,1.9268626435147,0.896276854138074,1.33973138608968,2.66146383344677,1.8883951564705,3.74372588984766,2.31558423748312,2.94715423199543
"601",2020-03-15,"Austria",151,4236.89981215185,2793.41401744409,6079.54446670373,3659.56287896555,4714.16059413291,0,1.4704773225861,0.837214432307654,2.3857431346055,1.16971989342222,1.70640982160154,2.66038789886521,1.88776104044515,3.74243507924556,2.31455592361069,2.94602050504295
"602",2020-03-16,"Austria",205,1489.871686219,1136.88868347091,1947.12663059857,1350.1404260903,1608.25134023929,0,1.87163632212153,1.11273513303307,2.93491404135744,1.51203462814308,2.15308670683945,0.792748035043382,0.653422330643985,0.940024446571239,0.743276247160544,0.840097316913835
"603",2020-03-17,"Austria",156,1701.91257463855,1308.95203597374,2227.32278596681,1540.64428623276,1836.92497855415,2,2.3585810827424,1.44550490715044,3.583292632609,1.94329557907984,2.68900599031886,0.792616399773244,0.653268271053831,0.939870761572112,0.743169605660291,0.839965187257414
"604",2020-03-18,"Austria",316,1818.72828728761,1392.68925446029,2369.66444744305,1640.67299961713,1966.64673934382,0,2.94233030075073,1.88463154934188,4.35660833770928,2.45971911115784,3.33102411437973,0.79246602362846,0.65309713863006,0.939695192278295,0.743058510871339,0.839797503660038
"605",2020-03-19,"Austria",314,1855.12258420837,1423.37742075001,2431.71997113515,1669.47029626665,2010.43416787658,1,3.631036532834,2.41594756092209,5.20399260826489,3.08432049607549,4.08236152330272,0.792305274434395,0.652918321372461,0.939506260595043,0.742945162323786,0.839609952835309
"606",2020-03-20,"Austria",550,1842.35669171834,1410.11723889378,2426.7401179228,1656.92281906064,2001.48817643613,2,4.42999406678561,3.06714333553366,6.16682118744752,3.82494376014409,4.93082315073529,0.792141217198944,0.652766673058602,0.939311112458379,0.742830506843412,0.839418792654429
"607",2020-03-21,"Austria",453,1804.1261993107,1377.17394583543,2366.84532825976,1621.12610511051,1962.32721289252,0,5.32779586044983,3.8109667756025,7.24098920222942,4.66590374160473,5.88903294541969,0.791978168825884,0.652655388326195,0.939114056470826,0.742716063271165,0.839211557156116
"608",2020-03-22,"Austria",375,1754.70106733234,1328.76088276993,2320.14139586399,1574.50793941238,1912.79990093398,2,6.30954851050243,4.62865932817768,8.41259489577097,5.57914333746169,6.93160627054385,0.791818365530586,0.652548286466793,0.938917307904045,0.742570063265051,0.839013819767884
"609",2020-03-23,"Austria",607,1701.60181020023,1279.35482541089,2274.92458371093,1519.48479811916,1858.68074799854,8,7.35939071065561,5.50996117233943,9.62285981493636,6.57442183328655,8.06192949256291,0.791662792223668,0.652446285409785,0.938721864088852,0.74242907236471,0.838855769038327
"610",2020-03-24,"Austria",855,1648.36478194727,1222.6009952994,2218.10215412502,1466.5052860668,1803.92183694317,9,8.45046149569299,6.4589353167987,10.856666693484,7.62638218823196,9.20801341310221,0.791511775449686,0.652349639906813,0.938528107832209,0.742293450897333,0.838706330838916
"611",2020-03-25,"Austria",796,1596.44533913109,1166.0401956135,2167.10251491793,1416.40786635188,1748.96114921409,5,9.56297921588231,7.38213279956298,12.1636772302494,8.69123919497781,10.3928457797421,0.791365332774144,0.652258278313275,0.938336148663499,0.742166127725963,0.838532251587994
"612",2020-03-26,"Austria",606,1546.32151963301,1111.46890546266,2119.57218026046,1366.09206522594,1702.91081733247,4,10.6689619970498,8.32679283724838,13.4350581455354,9.74920673257286,11.5689198486703,0.791223354881361,0.652171987756523,0.938172215859977,0.742051862652862,0.838378159724208
"613",2020-03-27,"Austria",1141,1498.06409805989,1055.97952964399,2063.42524319533,1314.32245636831,1657.43311927316,18,11.7421993871286,9.26391246579898,14.5490425846705,10.7958945480633,12.6622151353189,0.791085690856771,0.652090506700338,0.938017439463987,0.741942186019356,0.838247910730523
"614",2020-03-28,"Austria",668,1451.60195412954,1003.93365987931,2014.31081013125,1265.40303338269,1613.24258251795,16,12.7548938396866,10.1438387180833,15.6443078850754,11.7516707558023,13.7007507073107,0.79095218358511,0.652013566855555,0.937864089732954,0.741836908147589,0.838120849709977
"615",2020-03-29,"Austria",594,1406.8317638053,955.126452901278,1996.34456778739,1217.66148557676,1570.66355361222,0,13.7038073236273,11.0109668043104,16.7506457087764,12.6715820888776,14.7046422007188,0.790822682000202,0.651940909794879,0.937712148944025,0.74173584582211,0.837996891026031
"616",2020-03-30,"Austria",522,1363.65591868592,905.458537165626,1961.4339988673,1170.88035922454,1524.51493261346,18,14.5719353782318,11.7946480183467,17.6759860902986,13.5116686324428,15.5796366252382,0.790697043810284,0.651872292061862,0.937561602658608,0.741638825382745,0.837875954504578
"617",2020-03-31,"Austria",805,1321.99110492537,861.023150931536,1920.36721912927,1124.96055959113,1485.59169422289,22,15.3562528255613,12.533627706758,18.4602506860651,14.2619284213581,16.3890524163475,0.790575134958245,0.651807485634369,0.937412438750347,0.741539660951125,0.837755768770284
"618",2020-04-01,"Austria",564,1281.76691467512,818.367280347543,1902.79619956509,1080.82393894859,1446.19215015064,20,16.0218544183515,13.1519937796583,19.1883709454969,14.9121293017058,17.0683715893253,0.790456828362583,0.651746276855317,0.937264646459262,0.741444304746897,0.837629253769855
