"","time","country","reported_cases","reported_cases_c","predicted_cases_c","predicted_min_c","predicted_max_c","predicted_cases","predicted_min","predicted_max","deaths","deaths_c","estimated_deaths_c","death_min_c","death_max_c","estimated_deaths","death_min","death_max","rt","rt_min","rt_max"
"801",2020-03-13,"Greece",34,133,4316.29454607645,2558.37692919742,6762.93777652527,481.709122470101,355.309457961081,642.019077593101,0,1,3.35272208128842,1.24390644784238,7.11018225760578,0.596718811650473,0.249830597277302,1.1821345367227,2.00948950782024,1.49871637823178,2.65571743234359
"802",2020-03-14,"Greece",57,190,4854.81381008769,2954.32264383407,7484.75624909582,538.519264011238,395.945714636651,721.818472570553,0,1,4.03817411934114,1.54310123349664,8.43593985563077,0.685452038052718,0.299194785654264,1.32575759802499,2.00939669699966,1.49866379259854,2.65560090194247
"803",2020-03-15,"Greece",38,228,5456.97692134173,3394.7370909921,8296.44548158739,602.163111254042,440.41444715803,811.689232491572,2,3,4.82158440226906,1.90071154369981,9.90011485234328,0.783410282927915,0.357610310203164,1.46417499671251,2.00929256956359,1.49860752067561,2.65546357663739
"804",2020-03-16,"Greece",103,331,6084.90955801568,3834.71974907464,9154.37275903802,627.932636673946,439.982658082544,857.927277450632,1,4,5.71285115006333,2.32810726962517,11.5200941534963,0.891266747794277,0.42739572592536,1.61997930115297,1.87468648362347,1.36398111734272,2.42888847129269
"805",2020-03-17,"Greece",21,352,6785.74655170258,4321.34028328698,10130.5982613535,700.836993686903,486.620534212332,976.225502315433,0,4,6.72248761293973,2.8349903624292,13.3023608149821,1.0096364628764,0.506883092804036,1.78226666148588,1.87457229688545,1.36392037920014,2.42871962608488
"806",2020-03-18,"Greece",35,387,7564.7899126387,4846.92650210526,11233.8970627955,779.043360936122,525.586218818283,1103.29880144207,1,5,7.8629654467388,3.43134146745368,15.246788821303,1.14047783379907,0.596351105024475,1.94442800632087,1.87444449056972,1.36385584035727,2.42852352085484
"807",2020-03-19,"Greece",31,418,8102.47975295997,5211.6792296655,12001.6444984171,537.689840321265,364.752727560244,767.747435621606,0,5,9.14840855069677,4.13788969529019,17.3780983220436,1.28544310395797,0.706548227836509,2.13130950074058,1.17114428307778,0.850789707591302,1.57480420754303
"808",2020-03-20,"Greece",46,464,8690.34741957992,5600.14546351194,12855.3036284797,587.867666619955,388.466233846441,853.659130062573,0,5,10.5934936882047,4.96580996879366,19.6966367465228,1.44508513750798,0.827920273503477,2.3185384244792,1.1710826518669,0.85075883326164,1.57469470896108
"809",2020-03-21,"Greece",31,495,9315.52808352867,5998.91479789228,13776.8254987462,625.180663948745,398.769334380337,921.52187026648,3,8,12.2148408905886,5.93319530955447,22.2250199509197,1.62134720238388,0.967385340760805,2.52838320439691,1.17101513979945,0.850726595070713,1.57456987819781
"810",2020-03-22,"Greece",35,530,9968.00880320287,6400.72428304196,14761.1408928057,652.480719674206,401.809485149681,984.315394059509,5,13,14.0298317889313,7.06209029649288,24.9766273774214,1.81499089834265,1.12889498693842,2.75160742650167,1.1709431620467,0.850693775425562,1.57443171486959
